class, NOCom, NCLOC, DCP,,x,,,y,,,x*y,,z,,,x*z,,,,,,,m_nocom,m_ncloc,m_dcp
./src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,4,68,65.66,,-2.742088608,7.519049932,,-77.03955696,5935.093337,,211.2492915,,2.18863924,4.790141723,,-6.001442727,,,,,,,6.742088608,145.039557,63.47136076
./src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,6,77,58.6,,-0.742088608,0.550695502,,-68.03955696,4629.381312,,50.49138009,,-4.87136076,23.73015565,,3.614981325,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/Annotation.java,5,7,87.72,,-1.742088608,3.034872717,,-138.039557,19054.91929,,240.4771396,,24.24863924,587.996505,,-42.24327818,,,,,,conv_nocom_ncloc,516083.4478,,
./src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,4,10,83.33,,-2.742088608,7.519049932,,-135.039557,18235.68194,,370.2904307,,19.85863924,394.3655525,,-54.45414843,,,,,,conv_nocom_dcp,-26200.3482,,
./src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,12,198,49.23,,5.257911392,27.64563221,,52.96044304,2804.808527,,278.4613168,,-14.24136076,202.8163563,,-74.87981298,,,,,,stand_nocom,119.6535016,,
./src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,12,238,50.42,,5.257911392,27.64563221,,92.96044304,8641.64397,,488.7777725,,-13.05136076,170.3380177,,-68.62289842,,,,,,stand_ncloc,6035.993043,,
./src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,8,123,50,,1.257911392,1.582341071,,-22.03955696,485.7420711,,-27.72380979,,-13.47136076,181.4775607,,-16.94577817,,,,,,stand_dcp,448.9331788,,
./src/main/java/org/jfree/chart/annotations/TextAnnotation.java,11,137,56.37,,4.257911392,18.12980943,,-8.039556962,64.63447615,,-34.23172118,,-7.10136076,50.42932464,,-30.23696488,,,,,,R_NOCOM_NCLOC,0.714571659,,
./src/main/java/org/jfree/chart/annotations/XYAnnotation.java,4,11,82.81,,-2.742088608,7.519049932,,-134.039557,17966.60283,,367.5483421,,19.33863924,373.9829677,,-53.02826235,,,,,,R_NOCOM_DCP,-0.487752997,,
./src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java,5,7,89.06,,-1.742088608,3.034872717,,-138.039557,19054.91929,,240.4771396,,25.58863924,654.7784582,,-44.57767691,,,,,,__nocom_ncloc,0.709861103,,
./src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,10,176,48.54,,3.257911392,10.61398664,,30.96044304,958.5490331,,100.8663801,,-14.93136076,222.9455341,,-48.64505032,,,,,,__nocom_dcp,-0.426728174,,
./src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,10,159,52.54,,3.257911392,10.61398664,,13.96044304,194.8939698,,45.48188642,,-10.93136076,119.4946481,,-35.61340475,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,12,143,47.04,,5.257911392,27.64563221,,-2.039556962,4.159792601,,-10.72380979,,-16.43136076,269.9896164,,-86.39463893,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,12,134,50.74,,5.257911392,27.64563221,,-11.03955696,121.8718179,,-58.04501232,,-12.73136076,162.0875468,,-66.94036678,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,13,180,45.62,,6.257911392,39.161455,,34.96044304,1222.232577,,218.7793548,,-17.85136076,318.671081,,-111.7122339,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,12,252,48.99,,5.257911392,27.64563221,,106.960443,11440.53637,,562.388532,,-14.48136076,209.7098095,,-76.14171171,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,13,171,46.73,,6.257911392,39.161455,,25.96044304,673.9446027,,162.4581522,,-16.74136076,280.2731601,,-104.7659522,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,11,152,44.12,,4.257911392,18.12980943,,6.960443038,48.44776728,,29.63694971,,-19.35136076,374.4751633,,-82.39637943,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,14,282,51.63,,7.257911392,52.67727778,,136.960443,18758.16296,,994.0467598,,-11.84136076,140.2178246,,-85.94354716,,,,,,,,,
./src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,15,212,40.95,,8.257911392,68.19310056,,66.96044304,4483.700932,,552.9534054,,-22.52136076,507.2116905,,-185.9794016,,,,,,,,,
./src/main/java/org/jfree/chart/api/HorizontalAlignment.java,2,6,87.5,,-4.742088608,22.48740436,,-139.039557,19331.9984,,659.3378991,,24.02863924,577.3755037,,-113.9459364,,,,,,,,,
./src/main/java/org/jfree/chart/api/Layer.java,2,5,86.49,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,23.01863924,529.8577525,,-109.1564269,,,,,,,,,
./src/main/java/org/jfree/chart/api/LengthAdjustmentType.java,2,6,87.23,,-4.742088608,22.48740436,,-139.039557,19331.9984,,659.3378991,,23.75863924,564.4729385,,-112.6655725,,,,,,,,,
./src/main/java/org/jfree/chart/api/PublicCloneable.java,2,5,90.57,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,27.09863924,734.3362487,,-128.5041484,,,,,,,,,
./src/main/java/org/jfree/chart/api/RectangleAlignment.java,2,80,37.5,,-4.742088608,22.48740436,,-65.03955696,4230.14397,,308.4233421,,-25.97136076,674.5115797,,123.158494,,,,,,,,,
./src/main/java/org/jfree/chart/api/RectangleAnchor.java,3,95,37.5,,-3.742088608,14.00322715,,-50.03955696,2503.957261,,187.252456,,-25.97136076,674.5115797,,97.18713323,,,,,,,,,
./src/main/java/org/jfree/chart/api/RectangleEdge.java,2,42,60.75,,-4.742088608,22.48740436,,-103.039557,10617.1503,,488.6227092,,-2.72136076,7.405804386,,12.90493386,,,,,,,,,
./src/main/java/org/jfree/chart/api/RectangleInsets.java,5,245,49.28,,-1.742088608,3.034872717,,99.96044304,9992.090172,,-174.139949,,-14.19136076,201.3947202,,24.72260791,,,,,,,,,
./src/main/java/org/jfree/chart/api/Rotation.java,2,12,82.09,,-4.742088608,22.48740436,,-133.039557,17699.52372,,630.8853674,,18.61863924,346.6537271,,-88.29123704,,,,,,,,,
./src/main/java/org/jfree/chart/api/SortOrder.java,2,5,88.64,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,25.16863924,633.4604012,,-119.3519174,,,,,,,,,
./src/main/java/org/jfree/chart/api/TableOrder.java,2,5,88.64,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,25.16863924,633.4604012,,-119.3519174,,,,,,,,,
./src/main/java/org/jfree/chart/api/UnitType.java,2,5,88.64,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,25.16863924,633.4604012,,-119.3519174,,,,,,,,,
./src/main/java/org/jfree/chart/api/VerticalAlignment.java,2,6,87.5,,-4.742088608,22.48740436,,-139.039557,19331.9984,,659.3378991,,24.02863924,577.3755037,,-113.9459364,,,,,,,,,
./src/main/java/org/jfree/chart/api/XYCoordinateType.java,3,6,88.68,,-3.742088608,14.00322715,,-139.039557,19331.9984,,520.2983421,,25.20863924,635.4754923,,-94.33296172,,,,,,,,,
./src/main/java/org/jfree/chart/axis/Axis.java,15,789,48.63,,8.257911392,68.19310056,,643.960443,414685.0522,,5317.768279,,-14.84136076,220.2659892,,-122.5586421,,,,,,,,,
./src/main/java/org/jfree/chart/axis/AxisCollection.java,8,49,61.42,,1.257911392,1.582341071,,-96.03955696,9223.596501,,-120.8092528,,-2.05136076,4.208080968,,-2.580430069,,,,,,,,,
./src/main/java/org/jfree/chart/axis/AxisLabelLocation.java,5,6,87.23,,-1.742088608,3.034872717,,-139.039557,19331.9984,,242.2192282,,23.75863924,564.4729385,,-41.38965476,,,,,,,,,
./src/main/java/org/jfree/chart/axis/AxisLocation.java,9,26,67.9,,2.257911392,5.098163856,,-119.039557,14170.41612,,-268.7807718,,4.42863924,19.61284552,,9.999474991,,,,,,,,,
./src/main/java/org/jfree/chart/axis/AxisSpace.java,7,189,44.74,,0.257911392,0.066518286,,43.96044304,1932.520552,,11.33789907,,-18.73136076,350.8638759,,-4.831031328,,,,,,,,,
./src/main/java/org/jfree/chart/axis/AxisState.java,7,66,62.29,,0.257911392,0.066518286,,-79.03955696,6247.251565,,-20.38520219,,-1.18136076,1.395613245,,-0.304686398,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CategoryAnchor.java,6,6,87.5,,-0.742088608,0.550695502,,-139.039557,19331.9984,,103.1796712,,24.02863924,577.3755037,,-17.83137945,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CategoryAxis.java,16,726,43.98,,9.257911392,85.70892335,,580.960443,337515.0364,,5378.480304,,-19.49136076,379.9131443,,-180.4492908,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java,8,99,56.77,,1.257911392,1.582341071,,-46.03955696,2119.640805,,-57.9136832,,-6.70136076,44.90823604,,-8.429718042,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java,8,217,40.71,,1.257911392,1.582341071,,71.96044304,5178.305362,,90.5198611,,-22.76136076,518.0795436,,-28.631775,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CategoryLabelWidthType.java,7,5,88.89,,0.257911392,0.066518286,,-140.039557,19611.07751,,-36.11779713,,25.41863924,646.1072208,,6.555756629,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CategoryTick.java,6,55,58.33,,-0.742088608,0.550695502,,-90.03955696,8107.121818,,66.81732945,,-5.14136076,26.43359046,,3.81534525,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CompassFormat.java,5,48,65.71,,-1.742088608,3.034872717,,-97.03955696,9416.675615,,169.0515067,,2.23863924,5.011505647,,-3.899907917,,,,,,,,,
./src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,11,653,37.69,,4.257911392,18.12980943,,507.960443,258023.8117,,2162.850557,,-25.78136076,664.6785626,,-109.7747497,,,,,,,,,
./src/main/java/org/jfree/chart/axis/DateAxis.java,17,1063,36.35,,10.25791139,105.2247461,,917.960443,842651.375,,9416.356886,,-27.12136076,735.5682095,,-278.2085155,,,,,,,,,
./src/main/java/org/jfree/chart/axis/DateTick.java,8,42,65,,1.257911392,1.582341071,,-103.039557,10617.1503,,-129.6146326,,1.52863924,2.336737926,,1.922892714,,,,,,,,,
./src/main/java/org/jfree/chart/axis/DateTickMarkPosition.java,5,6,88.68,,-1.742088608,3.034872717,,-139.039557,19331.9984,,242.2192282,,25.20863924,635.4754923,,-43.91568324,,,,,,,,,
./src/main/java/org/jfree/chart/axis/DateTickUnit.java,9,140,55.84,,2.257911392,5.098163856,,-5.039556962,25.39713437,,-11.37887308,,-7.63136076,58.23766705,,-17.2309364,,,,,,,,,
./src/main/java/org/jfree/chart/axis/DateTickUnitType.java,4,18,75.68,,-2.742088608,7.519049932,,-127.039557,16139.04903,,348.3537219,,12.20863924,149.0508721,,-33.47717058,,,,,,,,,
./src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java,8,106,53.91,,1.257911392,1.582341071,,-39.03955696,1524.087008,,-49.10830346,,-9.56136076,91.41961958,,-12.02734462,,,,,,,,,
./src/main/java/org/jfree/chart/axis/LogarithmicAxis.java,7,561,41.01,,0.257911392,0.066518286,,415.960443,173023.0902,,107.280937,,-22.46136076,504.5127272,,-5.79304082,,,,,,,,,
./src/main/java/org/jfree/chart/axis/LogAxis.java,12,565,41.45,,5.257911392,27.64563221,,419.960443,176366.7737,,2208.114798,,-22.02136076,484.9403297,,-115.7863636,,,,,,,,,
./src/main/java/org/jfree/chart/axis/LogTick.java,4,14,80.56,,-2.742088608,7.519049932,,-131.039557,17171.36549,,359.3220763,,17.08863924,292.0215911,,-46.85856299,,,,,,,,,
./src/main/java/org/jfree/chart/axis/MarkerAxisBand.java,9,133,45.04,,2.257911392,5.098163856,,-12.03955696,144.9509318,,-27.18425282,,-18.43136076,339.7150595,,-41.61637943,,,,,,,,,
./src/main/java/org/jfree/chart/axis/ModuloAxis.java,6,215,45.98,,-0.742088608,0.550695502,,69.96044304,4894.46359,,-51.91684776,,-17.49136076,305.9477012,,12.98013956,,,,,,,,,
./src/main/java/org/jfree/chart/axis/MonthDateFormat.java,5,98,57.39,,-1.742088608,3.034872717,,-47.03955696,2212.719919,,81.94707629,,-6.08136076,36.98294869,,10.5942693,,,,,,,,,
./src/main/java/org/jfree/chart/axis/NumberAxis.java,10,597,41.7,,3.257911392,10.61398664,,451.960443,204268.2421,,1472.447076,,-21.77136076,473.9921493,,-70.92916424,,,,,,,,,
